                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                0.78013,                0.75231,                 1.2877,                0.92881,                0.93873,                0.97257,                0.80814,                0.65806,                0.53667,                 1.0885,              0.0010289,              0.0010289,              0.0010289
                    119,                  0.744,                0.71348,                 1.2843,                0.74174,                0.94168,                0.95344,                0.81916,                0.61144,                0.77127,                 1.0782,              0.0010234,              0.0010234,              0.0010234
                    120,                0.82169,                0.77514,                 1.3184,                0.78978,                0.77698,                0.86363,                0.71886,                0.75186,                0.85707,                 1.2378,              0.0010179,              0.0010179,              0.0010179
                    121,                0.80388,                0.69815,                 1.2719,                 0.8579,                0.72448,                0.79525,                0.57198,                 1.1307,                 1.1904,                 1.4762,              0.0010124,              0.0010124,              0.0010124
                    122,                0.80292,                0.69686,                  1.288,                0.89094,                 0.7917,                0.88628,                0.69758,                0.81314,                0.73897,                 1.2506,              0.0010069,              0.0010069,              0.0010069
                    123,                0.81106,                 0.7058,                 1.2872,                0.92257,                0.96425,                0.97916,                 0.8322,                0.64924,                0.51832,                 1.0945,              0.0010014,              0.0010014,              0.0010014
                    124,                0.87242,                 0.7375,                 1.3333,                0.83179,                0.91833,                0.97321,                0.81743,                0.66989,                0.63904,                 1.1107,             0.00099587,             0.00099587,             0.00099587
                    125,                0.79812,                0.70703,                 1.2586,                0.89288,                0.92798,                0.96869,                0.80094,                0.71349,                0.61671,                 1.1591,             0.00099036,             0.00099036,             0.00099036
                    126,                0.82117,                0.73367,                 1.2949,                0.65276,                0.73879,                0.78886,                0.63946,                0.74078,                 1.5218,                  1.155,             0.00098486,             0.00098486,             0.00098486
                    127,                0.80676,                0.69944,                 1.3109,                0.88161,                0.92747,                0.96976,                0.83169,                  0.629,                0.83009,                 1.0704,             0.00097936,             0.00097936,             0.00097936
                    128,                0.82326,                 0.7095,                 1.3243,                 0.9423,                0.90776,                0.97425,                0.81436,                0.67709,                0.53814,                 1.1064,             0.00097386,             0.00097386,             0.00097386
                    129,                0.79291,                0.67125,                 1.2896,                 0.8278,                0.90224,                0.97299,                0.83985,                0.60338,                0.62552,                  1.052,             0.00096836,             0.00096836,             0.00096836
                    130,                0.76621,                0.61969,                 1.2659,                0.89672,                0.92303,                0.98159,                0.84742,                0.56178,                0.56787,                 1.0317,             0.00096286,             0.00096286,             0.00096286
                    131,                 0.7941,                0.67526,                 1.2895,                0.92993,                0.91385,                0.98479,                0.85866,                0.56405,                0.53414,                 1.0397,             0.00095736,             0.00095736,             0.00095736
                    132,                0.76878,                0.62133,                 1.2534,                 0.9666,                0.96095,                0.98435,                 0.8555,                0.58751,                0.42753,                 1.0571,             0.00095186,             0.00095186,             0.00095186
                    133,                0.72034,                0.60289,                 1.2589,                0.92865,                0.95014,                0.98356,                0.84754,                0.61495,                0.47916,                 1.0702,             0.00094636,             0.00094636,             0.00094636
                    134,                0.78188,                0.67409,                 1.2814,                0.92581,                0.94027,                0.98392,                0.86177,                0.59209,                0.50536,                 1.0761,             0.00094085,             0.00094085,             0.00094085
                    135,                0.71671,                0.59493,                 1.2412,                0.89263,                0.92337,                0.95296,                0.81061,                0.62213,                0.57946,                 1.0991,             0.00093535,             0.00093535,             0.00093535
                    136,                0.72713,                0.61957,                 1.2322,                0.91714,                0.89299,                 0.9363,                0.77857,                0.67808,                0.66432,                 1.1405,             0.00092985,             0.00092985,             0.00092985
                    137,                0.76066,                0.64262,                 1.2481,                0.92873,                0.89328,                0.95262,                0.79231,                0.74798,                 0.6891,                 1.1643,             0.00092435,             0.00092435,             0.00092435
                    138,                0.72179,                0.59111,                 1.2288,                0.98252,                0.91663,                0.97551,                0.80045,                0.77652,                0.53487,                 1.1671,             0.00091885,             0.00091885,             0.00091885
                    139,                0.75188,                 0.6097,                 1.2507,                0.97593,                0.95141,                0.98693,                0.87792,                0.54549,                0.45609,                 1.0239,             0.00091335,             0.00091335,             0.00091335
                    140,                0.72476,                0.60839,                  1.243,                0.93676,                0.90855,                0.97439,                0.83882,                0.65858,                0.51195,                 1.0653,             0.00090785,             0.00090785,             0.00090785
                    141,                0.75871,                0.63312,                 1.2707,                0.96081,                 0.9308,                0.97791,                0.83577,                0.65705,                0.47301,                 1.0519,             0.00090235,             0.00090235,             0.00090235
                    142,                0.76295,                0.61968,                 1.2787,                0.91272,                0.93235,                0.97553,                0.83854,                0.60591,                0.50705,                 1.0568,             0.00089685,             0.00089685,             0.00089685
                    143,                0.74643,                0.57601,                 1.2435,                0.79628,                0.68658,                0.73514,                0.54968,                0.83581,                 1.7384,                 1.2622,             0.00089134,             0.00089134,             0.00089134
                    144,                0.74543,                0.59502,                 1.2352,                0.90813,                0.90302,                0.97423,                0.85416,                0.56232,                0.56602,                 1.0186,             0.00088584,             0.00088584,             0.00088584
                    145,                0.75302,                0.56471,                 1.2327,                0.97037,                0.92861,                0.98735,                0.86434,                0.59644,                0.42662,                 1.0287,             0.00088034,             0.00088034,             0.00088034
                    146,                0.72281,                 0.5544,                 1.2241,                0.98673,                 0.9684,                0.99076,                0.85954,                0.59025,                0.39113,                 1.0519,             0.00087484,             0.00087484,             0.00087484
                    147,                0.71448,                0.57404,                  1.203,                0.99028,                 0.9752,                0.98987,                 0.8754,                0.58424,                0.38697,                 1.0471,             0.00086934,             0.00086934,             0.00086934
                    148,                 0.7041,                0.61907,                 1.2055,                0.81463,                0.86221,                0.94908,                0.83278,                0.59942,                0.76013,                 1.0667,             0.00086384,             0.00086384,             0.00086384
                    149,                0.68275,                0.57935,                 1.1755,                0.97025,                0.97264,                0.98584,                0.88341,                 0.5234,                0.38501,                 1.0091,             0.00085834,             0.00085834,             0.00085834
                    150,                0.71069,                0.57023,                 1.2214,                0.83381,                0.90249,                0.98732,                0.86349,                0.53143,                0.52536,                 1.0081,             0.00085284,             0.00085284,             0.00085284
                    151,                0.73209,                0.60671,                 1.2275,                0.68342,                 0.9545,                0.94909,                0.81624,                0.50668,                0.69154,                0.99748,             0.00084734,             0.00084734,             0.00084734
